202511736,Fatma Yıldız,CS,1,fatma.yildiz,ME,1
202833018,Mustafa Şahin,IE,4,mustafa.sahin
202722011,Hasan Aydın,EE,3,hasan.aydin,CS,2
202555017,Hüseyin Doğan,CE,1,huseyin.dogan
202711022,Elif Kılıç,CS,3,elif.kilic
202333950,Arjin İlhan,EE,3,arjin.ilhan
202251230,Çiğdem Kaya,BA,4,cigdem.kaya,PSY,2
202514814,Pelin Zeynep Kaya,CS,3,pelin.kaya1,CEN,1
202214664,Baver Çalış,CEN,4,baver.calis
202511141,Can Aydın,CE,1,can.aydın9217
202411386,Emre Kaya,CS,2,emre.kaya7771
202311864,Arda Güneş,CS,3,arda.güneş7505
202311549,Ayşe Kılıç,CS,3,ayşe.kılıç227
202211810,Arda Aydın,CS,4,arda.aydın2883
202211603,Selin Yıldız,CS,4,selin.yıldız1965
202411034,Selin Yavuz,CS,2,selin.yavuz9536
202211630,Can Öztürk,CS,4,can.öztürk2172
202311620,Pelin Güneş,CS,3,pelin.güneş4458
202411458,Arda Çelik,CS,2,arda.çelik2178
202311332,Selin Çelik,CS,3,selin.çelik1965
202211667,Gizem Yavuz,CS,4,gizem.yavuz9065
202311819,Kerem Demir,CS,3,kerem.demir7986
202211586,Pelin Yılmaz,CS,4,pelin.yılmaz5347
202411313,Beren Öztürk,CS,2,beren.öztürk4889
202311431,Zeynep Yıldız,CS,3,zeynep.yıldız6847
202211973,Mehmet Kaya,CS,4,mehmet.kaya9499
202211289,Beren Arslan,CS,4,beren.arslan6197
202311611,Beren Yavuz,CS,3,beren.yavuz5663
202211153,Deniz Yıldız,CS,4,deniz.yıldız3222
202511196,Can Yıldız,CS,1,can.yıldız6420
202311459,Emre Güneş,CS,3,emre.güneş6526
202211324,Fatma Şahin,CS,4,fatma.şahin4180
202211090,Deniz Aksoy,CS,4,deniz.aksoy1882
202511097,Gizem Güneş,CS,1,gizem.güneş358
202411511,Beren Çelik,CS,2,beren.çelik1979
202511501,Oğuz Kılıç,CS,1,oğuz.kılıç4800
202211946,Fatma Doğan,CS,4,fatma.doğan4732
202211829,Kerem Öztürk,CS,4,kerem.öztürk5379
202533200,Can Bulut,EE,1,can.bulut5043
202533778,Oğuz Kılıç,EE,2,oğuz.kılıç4946
202533732,Zeynep Güneş,EE,3,zeynep.güneş5321
202233852,Ece Öztürk,EE,4,ece.öztürk2981
202533787,Arda Yılmaz,EE,1,arda.yılmaz5097
202233393,Deniz Aksoy,EE,4,deniz.aksoy5231
202333095,Pelin Çelik,EE,3,pelin.çelik8909
202433797,Kaan Öztürk,EE,2,kaan.öztürk4691
202233582,Duru Arslan,EE,4,duru.arslan3697
202233438,Gizem Bulut,EE,4,gizem.bulut7030
202433382,Ayşe Yılmaz,EE,2,ayşe.yılmaz3763
202233915,Burak Kaya,EE,4,burak.kaya9597
202233618,Kaan Demir,EE,4,kaan.demir241
202333112,Fatma Polat,EE,3,fatma.polat99
202533110,Gizem Doğan,EE,1,gizem.doğan4063
202333239,Arda Aksoy,EE,3,arda.aksoy4544
202433067,Beren Yavuz,EE,2,beren.yavuz9534
202533183,Can Güneş,EE,1,can.güneş6306
202533570,Oğuz Aksoy,EE,1,oğuz.aksoy2917
202433391,Gizem Özkan,EE,2,gizem.özkan9079
202333653,Mehmet Demir,EE,3,mehmet.demir3980
202333743,Gizem Çelik,EE,3,gizem.çelik4785
